一	1
承	472
拉	220,339
拌	220,70,97
拄	220,67,99;220,6,173
抿	220,348
拂	220,347
抹	220,282
拒	220,102,73
招	220,81,119
披	220,349
拓	220,291
拔	220,23,53,6
拋	220,107,83
拈	220,38,119
抨	220,95,70
抽	220,302
押	220,303
拐	220,119,81
拙	220,152,80
拇	220,274
拍	220,331
抵	220,240,1
拚	220,88,108
抱	220,64,145
拘	220,64,119
拖	220,42,154
拗	220,169,83
拆	220,44,21,6;220,44,1,37
抬	220,88,119
拎	220,45,1,89
放	67,61,221
斧	237,232
於	67,61,45,71
旺	209,173
昔	183,209
易	209,245
昌	209,209
昆	209,25,24
昂	209,65,75
明	209,238
昀	209,64,19
昏	240,209
昕	209,232
昊	209,1,105
昇	209,5,108
服	238,77,84
朋	238,238
杭	185,67,55
枋	185,67,61
枕	185,255
東	451
果	458
杳	185,209
杷	185,268
枇	185,25,24
枝	185,20,84
林	185,184
杯	185,191
杰	185,251
板	185,22,84
枉	185,173
松	185,48,88
析	185,232
杵	185,42,20;185,5,95
枚	185,221
枓	185,71,20
杼	185,89,16,10
杪	185,160,5
杲	209,186
欣	232,62,45
武	1,114,208
歧	208,20,84
歿	195,61,84
氓	67,15,348
氛	223,48,81
泣	277,339
注	277,67,99;277,6,173
泳	277,342
沱	277,139,24
泌	277,341
泥	277,142,24
河	277,32,119
沽	277,20,119
沾	277,38,119
沼	277,81,119
波	277,349
沫	277,282
法	277,99,88
泓	277,149,88
沸	277,347
泄	277,286
油	277,302
況	277,119,55
沮	277,299
泗	277,120,50
泅	277,120,47
泱	277,308
沿	277,50,119
治	277,88,119
泡	277,64,145
泛	277,5,254
泊	277,331
沬	277,281
泯	277,348
泜	277,240,1
泖	277,134,75
泠	277,45,1,89
炕	250,67,57
炎	250,249
炒	250,160,5
炊	250,62,45
炙	383,249
爬	233,268
爭	234,263
爸	237,268
版	231,22,84
牧	225,221
物	225,245
狀	266,192
狎	194,303
狙	194,299
狗	194,64,119
狐	194,332
玩	174,19,55
玨	174,173
玟	174,247
玫	174,221
玥	174,238
甽	301,171
疝	338,121
疙	338,42,8
疚	338,132
的	331,64,6
盂	96,305
盲	67,15,298
直	20,373
知	42,106,119
矽	291,135
社	284,99
祀	284,145
祁	284,166
秉	465
秈	326,121
空	139,50,102
穹	139,50,149
竺	391,19
糾	417,79
罔	39,140,67,15
羌	407,55
羋	205,3,95
者	180,209
肺	382,189
肥	382,268
肢	382,20,84
肱	382,23,88
股	382,58,84
肫	382,198
肩	236,382
肴	54,23,382
肪	382,67,61
肯	206,382
臥	359,45
臾	466
舍	45,95,119
芳	204,67,61
芝	204,254
芙	204,176
芭	204,268
芽	204,203
芟	204,58,84
芹	204,232
